User,Card,Year,Month,Day,Time,Amount,Use Chip,Merchant Name,Merchant City,Merchant State,Zip,MCC,Errors?,Is Fraud?
Alice,4111111111111111,2024,11,26,08:15:34,500000,Yes,Shop A,Ho Chi Minh,SG,70000,5411,No,No
Bob,5105105105105100,2024,11,26,12:45:21,1200000,No,Shop B,Hanoi,HN,10000,5812,No,No
Charlie,4012888888881881,2024,11,25,14:30:12,200000,Yes,Restaurant C,Danang,DN,55000,5814,No,No
David,5555555555554444,2024,11,25,10:00:00,350000,Yes,Shop D,Nha Trang,KH,65000,5943,No,Yes
Eve,378282246310005,2024,11,25,16:50:45,800000,No,Shop E,Can Tho,CT,92000,5411,No,No
Frank,6011000990139424,2024,11,24,09:20:31,1500000,Yes,Shop F,Hue,TT,53000,5331,No,No
Grace,3530111333300000,2024,11,24,19:00:15,900000,No,Shop G,Vung Tau,VT,78000,5691,No,Yes
Hank,3566002020360505,2024,11,23,20:25:47,450000,Yes,Restaurant H,Da Lat,LD,67000,5814,No,No
Ivy,4111111111111111,2024,11,23,13:30:18,500000,No,Shop I,Haiphong,HP,18000,5311,No,No
John,5105105105105100,2024,11,22,11:05:50,700000,Yes,Shop J,Quang Ninh,QN,20000,5812,No,No
Kate,4012888888881881,2024,11,22,15:45:00,600000,No,Restaurant K,Can Tho,CT,92000,5411,No,Yes
Leo,5555555555554444,2024,11,21,17:15:34,1000000,Yes,Shop L,Binh Duong,BD,82000,5691,No,No
Mia,378282246310005,2024,11,21,18:25:11,300000,No,Shop M,Thanh Hoa,TH,40000,5943,No,No
Nathan,6011000990139424,2024,11,20,07:10:09,2500000,Yes,Shop N,Ninh Binh,NB,43000,5331,No,Yes
Olivia,3530111333300000,2024,11,20,21:40:36,550000,No,Shop O,Quang Nam,QN,51000,5411,No,No
Paul,3566002020360505,2024,11,19,10:50:48,400000,Yes,Restaurant P,Bac Ninh,BN,22000,5814,No,No
Quinn,4111111111111111,2024,11,19,14:20:10,750000,No,Shop Q,Lam Dong,LD,67000,5311,No,No
Rose,5105105105105100,2024,11,18,12:05:30,600000,Yes,Shop R,Tay Ninh,TN,84000,5691,No,No
Steve,4012888888881881,2024,11,18,08:45:25,800000,No,Restaurant S,Hanoi,HN,10000,5411,No,Yes
Tina,5555555555554444,2024,11,17,19:55:00,550000,Yes,Shop T,Hai Duong,HD,17000,5943,No,No
